company,opportunity_value,old_status_label,new_status_label,status_change_date,lead_created_date,current_lead_status,current_lead_status_date,current_opp_status,current_opp_status_date,billing_period_unit,billing_period
company34,250,AE - Qualified,Opp - Lost,2018-07-17 08:28:27,2018-04-04 07:25:07,Contacted,2018-08-14 7:39:31,Opp - Lost,2018-07-17 08:28:27,year,1
company35,34,SD - Interested,SD - Engaged,2019-02-13 13:24:59,2019-01-30 09:39:05,LCI,2019-05-13 12:28:41,Opp - Lost,2019-05-13 12:28:54,month,6
company35,34,SD - Engaged,AE - Qualified,2019-02-15 15:17:59,2019-01-30 09:39:05,LCI,2019-05-13 12:28:41,Opp - Lost,2019-05-13 12:28:54,month,6
company35,34,AE - Qualified,Opp - Lost,2019-05-13 12:28:54,2019-01-30 09:39:05,LCI,2019-05-13 12:28:41,Opp - Lost,2019-05-13 12:28:54,month,6
company38,29,AE - Qualified,AE - Solution Design,2018-11-15 16:48:38,2018-07-25 15:40:58,Lost,2018-12-13 13:17:32,Opp - Lost,2018-12-13 13:17:39,month,3
company38,29,AE - Solution Design,Opp - Lost,2018-12-13 13:17:39,2018-07-25 15:40:58,Lost,2018-12-13 13:17:32,Opp - Lost,2018-12-13 13:17:39,month,9
company40,52,AE - Qualified,Confirmed,2018-06-29 11:24:33,2018-06-26 09:59:44,Customer,2018-06-29 11:24:37,Paying,2018-07-03 08:21:11,month,10
company40,52,Confirmed,Paying,2018-07-03 08:21:11,2018-06-26 09:59:44,Customer,2018-06-29 11:24:37,Paying,2018-07-03 08:21:11,month,7
company42,54,MR - Qualification,AE - Qualified,2018-12-11 15:30:41,2018-11-26 12:55:08,Lost,2019-02-11 13:20:21,Opp - Lost,2019-02-11 12:53:00,month,7
company42,54,AE - Qualified,Opp - Lost,2019-02-11 12:53:00,2018-11-26 12:55:08,Lost,2019-02-11 13:20:21,Opp - Lost,2019-02-11 12:53:00,month,2
company44,40,AE - Qualified,Confirmed,2019-01-15 08:24:45,2019-01-14 15:06:38,Customer,2019-01-15 8:24:34,Paying,2019-01-21 15:25:56,month,9
company44,40,Confirmed,Paying,2019-01-21 15:25:56,2019-01-14 15:06:38,Customer,2019-01-15 8:24:34,Paying,2019-01-21 15:25:56,month,1
company46,29,AE - Qualified,Confirmed,2017-06-28 11:11:20,2017-06-26 13:25:07,Customer,2017-06-28 13:16:43,Paying,2017-07-03 08:39:45,month,4
company46,29,Confirmed,Paying,2017-07-03 08:39:45,2017-06-26 13:25:07,Customer,2017-06-28 13:16:43,Paying,2017-07-03 08:39:45,month,4
company48,48,AE - Qualified,Confirmed,2017-05-05 07:54:10,2017-04-18 08:10:12,Customer,2017-05-05 13:44:51,Paying,2017-07-11 08:41:16,month,10
company48,48,Confirmed,Paying,2017-07-11 08:41:16,2017-04-18 08:10:12,Customer,2017-05-05 13:44:51,Paying,2017-07-11 08:41:16,month,6
company50,83,SD - Interested,AE - Qualified,2018-11-15 15:19:25,2018-08-20 15:11:23,Lost,2018-11-20 12:51:32,Opp - Lost,2018-11-20 12:50:20,year,1
company50,83,AE - Qualified,Opp - Lost,2018-11-20 12:50:20,2018-08-20 15:11:23,Lost,2018-11-20 12:51:32,Opp - Lost,2018-11-20 12:50:20,year,1
company52,38,Confirmed,Paying,2018-06-06 14:10:45,2018-06-06 13:22:11,Customer,2018-06-06 13:22:14,Paying,2018-06-06 14:10:45,month,10
company53,52,AE - Qualified,Opp - Lost,2018-06-04 09:51:35,2018-05-24 09:59:26,Lost,2018-06-04 9:51:00,Opp - Lost,2018-06-04 09:51:35,month,6
company54,81,AE - Qualified,Opp - Lost,2019-04-08 08:01:11,2018-06-18 14:25:36,Lost,2019-04-08 8:01:16,Opp - Lost,2019-04-08 08:01:11,year,1
company55,216,MR - Qualification,AE - Qualified,2019-01-17 09:25:12,2019-01-04 16:32:32,Customer,2019-02-28 17:07:44,Confirmed,2019-02-27 09:20:57,year,1
company55,216,AE - Qualified,AE - Solution Design,2019-02-14 08:24:20,2019-01-04 16:32:32,Customer,2019-02-28 17:07:44,Confirmed,2019-02-27 09:20:57,year,1
company55,216,AE - Solution Design,AE - Negotiation,2019-02-14 14:59:58,2019-01-04 16:32:32,Customer,2019-02-28 17:07:44,Confirmed,2019-02-27 09:20:57,year,1
company55,216,AE - Negotiation,Confirmed,2019-02-27 09:20:57,2019-01-04 16:32:32,Customer,2019-02-28 17:07:44,Confirmed,2019-02-27 09:20:57,year,1
company59,286,AE - Qualified,Opp - Lost,2017-02-06 09:16:52,2017-01-25 14:50:39,Other,2018-12-14 14:40:42,Opp - Lost,2017-02-06 09:16:52,year,1
company60,581,SD - Engaged,Opp - Lost,2018-12-04 13:24:34,2018-10-26 07:23:05,Disqualified,2018-12-04 13:24:29,Opp - Lost,2018-12-04 13:24:34,year,1
company61,29,AE - Qualified,Confirmed,2018-07-13 09:45:13,2018-07-11 09:02:55,Customer,2018-07-13 9:59:41,Paying,2018-07-20 12:19:28,month,9
company61,29,Confirmed,Paying,2018-07-20 12:19:28,2018-07-11 09:02:55,Customer,2018-07-13 9:59:41,Paying,2018-07-20 12:19:28,month,3
company63,35,AE - Qualified,Confirmed,2017-08-16 09:00:13,2017-08-09 15:06:48,Customer,2017-08-16 9:00:17,Paying,2017-09-08 23:39:11,month,10
company63,35,Confirmed,Paying,2017-09-08 23:39:11,2017-08-09 15:06:48,Customer,2017-08-16 9:00:17,Paying,2017-09-08 23:39:11,month,7
company65,42,MR - Qualification,AE - Qualified,2018-08-08 08:57:10,2018-08-07 07:24:47,Customer,2018-09-06 14:16:42,Confirmed,2018-09-06 14:16:38,month,2
company65,42,AE - Qualified,AE - Negotiation,2018-08-30 17:15:57,2018-08-07 07:24:47,Customer,2018-09-06 14:16:42,Confirmed,2018-09-06 14:16:38,month,9
company65,42,AE - Negotiation,Confirmed,2018-09-06 14:16:38,2018-08-07 07:24:47,Customer,2018-09-06 14:16:42,Confirmed,2018-09-06 14:16:38,month,11
company65,30,Confirmed,Paying,2018-12-04 09:42:29,2018-11-27 14:48:51,Customer,2018-09-06 14:16:42,Paying,2018-12-04 09:42:29,month,2
company69,38,AE - Qualified,Opp - Lost,2018-02-14 17:16:27,2018-01-05 14:57:14,Customer,2018-04-20 13:44:24,Paying,2018-04-27 12:28:24,month,10
company69,38,Opp - Lost,Confirmed,2018-04-20 13:44:15,2018-01-05 14:57:14,Customer,2018-04-20 13:44:24,Paying,2018-04-27 12:28:24,month,9
company69,38,Confirmed,Paying,2018-04-27 12:28:24,2018-01-05 14:57:14,Customer,2018-04-20 13:44:24,Paying,2018-04-27 12:28:24,month,2
company72,40,MR - Qualification,AE - Qualified,2019-02-20 13:36:38,2019-02-18 12:53:12,Customer,2019-03-11 15:08:11,Confirmed,2019-03-11 15:08:05,month,4
company72,40,AE - Qualified,Confirmed,2019-03-11 15:08:05,2019-02-18 12:53:12,Customer,2019-03-11 15:08:11,Confirmed,2019-03-11 15:08:05,month,1
company74,40,MR - Qualification,Opp - Lost,2019-02-08 10:01:47,2019-01-16 09:54:30,Disqualified,2019-02-08 10:01:45,Opp - Lost,2019-02-08 10:01:47,month,5
company75,27,AE - Qualified,Confirmed,2017-11-17 13:17:07,2017-11-02 14:45:05,Customer,2017-11-17 15:25:36,Paying,2017-12-02 15:13:38,month,8
company75,27,Confirmed,Paying,2017-12-02 15:13:38,2017-11-02 14:45:05,Customer,2017-11-17 15:25:36,Paying,2017-12-02 15:13:38,month,8
company77,71,AE - Qualified,Opp - Lost,2018-03-12 14:58:35,2017-12-07 11:13:49,Lost,2018-09-25 8:42:36,Opp - Lost,2018-03-12 14:58:35,month,9
company78,125,AE - Qualified,Confirmed,2017-05-15 14:50:21,2017-04-21 13:19:46,Customer,2017-05-17 8:11:11,Paying,2017-05-16 15:28:48,year,1
company78,125,Confirmed,Paying,2017-05-16 15:28:48,2017-04-21 13:19:46,Customer,2017-05-17 8:11:11,Paying,2017-05-16 15:28:48,year,1
company80,154,SD - Interested,SD - Engaged,2018-08-24 08:35:17,2018-07-30 15:03:43,Qualified,2018-08-28 7:48:32,AE - Qualified,2018-08-28 07:48:29,year,1
company80,154,SD - Engaged,AE - Qualified,2018-08-28 07:48:29,2018-07-30 15:03:43,Qualified,2018-08-28 7:48:32,AE - Qualified,2018-08-28 07:48:29,year,1
company82,84,MR - Qualification,AE - Qualified,2019-02-20 15:41:01,2019-02-07 08:47:50,Lost,2019-03-20 11:26:16,Opp - Lost,2019-03-20 11:26:03,year,1
company82,84,AE - Qualified,Opp - Lost,2019-03-20 11:26:03,2019-02-07 08:47:50,Lost,2019-03-20 11:26:16,Opp - Lost,2019-03-20 11:26:03,year,1
company84,40,MR - Qualification,Opp - Lost,2019-03-25 08:30:01,2019-01-18 11:34:38,LCI,2019-03-25 8:29:22,Opp - Lost,2019-03-25 08:30:01,month,1
company85,81,MR - Qualification,AE - Qualified,2019-02-14 13:26:10,2019-02-14 13:20:39,Customer,2019-03-27 12:45:13,Confirmed,2019-03-27 12:45:07,year,1
company85,81,AE - Qualified,Confirmed,2019-03-27 12:45:07,2019-02-14 13:20:39,Customer,2019-03-27 12:45:13,Confirmed,2019-03-27 12:45:07,year,1
company87,40,AE - Qualified,Confirmed,2018-12-19 15:18:43,2018-12-19 15:17:43,Customer,2018-12-19 15:18:28,Confirmed,2018-12-19 15:18:43,month,7
company88,147,MR - Qualification,AE - Qualified,2019-02-18 11:38:46,2019-02-13 12:54:11,Customer,2019-03-29 14:43:57,Confirmed,2019-03-29 14:43:53,year,1
company88,147,AE - Qualified,AE - Negotiation,2019-03-13 15:52:55,2019-02-13 12:54:11,Customer,2019-03-29 14:43:57,Confirmed,2019-03-29 14:43:53,year,1
company88,147,AE - Negotiation,Confirmed,2019-03-29 14:43:53,2019-02-13 12:54:11,Customer,2019-03-29 14:43:57,Confirmed,2019-03-29 14:43:53,year,1
company91,71,MR - Qualification,AE - Qualified,2018-08-01 12:50:20,2018-07-31 10:09:35,Customer,2018-09-24 7:22:07,Paying,2018-10-08 11:57:17,month,2
company91,71,AE - Qualified,AE - Solution Design,2018-08-03 12:46:18,2018-07-31 10:09:35,Customer,2018-09-24 7:22:07,Paying,2018-10-08 11:57:17,month,7
company91,71,AE - Solution Design,AE - Negotiation,2018-09-06 13:05:59,2018-07-31 10:09:35,Customer,2018-09-24 7:22:07,Paying,2018-10-08 11:57:17,month,9
company91,71,AE - Negotiation,Confirmed,2018-09-24 07:22:16,2018-07-31 10:09:35,Customer,2018-09-24 7:22:07,Paying,2018-10-08 11:57:17,month,3
company91,71,Confirmed,Paying,2018-10-08 11:57:17,2018-07-31 10:09:35,Customer,2018-09-24 7:22:07,Paying,2018-10-08 11:57:17,month,6
company96,341,MR - Qualification,AE - Qualified,2019-04-23 14:45:47,2019-04-18 12:26:43,Qualified,2019-04-23 14:45:22,AE - Qualified,2019-04-23 14:45:47,year,1
company97,282,MR - Qualification,AE - Qualified,2019-04-30 11:34:15,2019-03-20 13:27:23,Qualified,2019-04-30 11:34:24,AE - Qualified,2019-04-30 11:34:15,year,1
company98,40,MR - Qualification,AE - Qualified,2018-11-15 08:45:43,2018-11-13 12:53:47,Customer,2019-02-06 8:26:39,Confirmed,2019-02-06 08:26:01,month,6
company98,40,AE - Qualified,AE - Solution Design,2019-01-16 12:59:03,2018-11-13 12:53:47,Customer,2019-02-06 8:26:39,Confirmed,2019-02-06 08:26:01,month,4
company98,40,AE - Solution Design,Confirmed,2019-02-06 08:26:01,2018-11-13 12:53:47,Customer,2019-02-06 8:26:39,Confirmed,2019-02-06 08:26:01,month,8
company101,154,AE - Qualified,Confirmed,2018-03-21 13:26:30,2018-02-28 12:53:10,Customer,2018-03-21 13:37:56,Paying,2018-04-30 18:35:27,year,1
company101,154,Confirmed,Paying,2018-04-30 18:35:27,2018-02-28 12:53:10,Customer,2018-03-21 13:37:56,Paying,2018-04-30 18:35:27,year,1
company103,31,MR - Qualification,AE - Qualified,2018-09-26 15:03:52,2018-09-17 12:41:55,Qualified,2018-09-28 12:23:04,AE - Solution Design,2018-10-18 11:50:16,month,5
company103,31,AE - Qualified,AE - Solution Design,2018-10-18 11:50:16,2018-09-17 12:41:55,Qualified,2018-09-28 12:23:04,AE - Solution Design,2018-10-18 11:50:16,month,10
company105,92,MR - Qualification,AE - Qualified,2018-09-03 13:30:58,2018-08-31 13:15:56,Lost,2019-03-08 13:19:45,Opp - Lost,2019-03-08 13:19:42,year,1
company105,92,AE - Qualified,AE - Solution Design,2018-09-07 14:26:02,2018-08-31 13:15:56,Lost,2019-03-08 13:19:45,Opp - Lost,2019-03-08 13:19:42,year,1
company105,92,AE - Solution Design,AE - Qualified,2019-01-16 16:42:55,2018-08-31 13:15:56,Lost,2019-03-08 13:19:45,Opp - Lost,2019-03-08 13:19:42,year,1
company105,92,AE - Qualified,Opp - Lost,2019-03-08 13:19:42,2018-08-31 13:15:56,Lost,2019-03-08 13:19:45,Opp - Lost,2019-03-08 13:19:42,year,1
company109,840,MR - Qualification,AE - Qualified,2018-08-02 16:12:01,2018-07-31 15:01:16,Lost,2018-08-23 9:09:45,Opp - Lost,2018-08-23 09:09:40,year,1
company109,840,AE - Qualified,Opp - Lost,2018-08-23 09:09:40,2018-07-31 15:01:16,Lost,2018-08-23 9:09:45,Opp - Lost,2018-08-23 09:09:40,year,1
company111,146,SD - Interested,Opp - Lost,2019-03-07 08:57:50,2019-02-06 15:50:55,Not Interested,2019-03-07 8:57:46,Opp - Lost,2019-03-07 08:57:50,year,1
company112,245,MR - Qualification,AE - Qualified,2019-02-26 17:09:52,2019-02-22 09:10:04,Qualified,2019-02-26 17:08:21,AE - Qualified,2019-02-26 17:09:52,year,1
company113,58,AE - Qualified,Confirmed,2018-01-09 15:11:32,2017-11-16 15:59:04,Customer,2018-01-09 15:12:38,Paying,2018-01-24 11:20:12,month,5
company113,58,Confirmed,Paying,2018-01-24 11:20:12,2017-11-16 15:59:04,Customer,2018-01-09 15:12:38,Paying,2018-01-24 11:20:12,month,6
company115,92,MR - Qualification,AE - Qualified,2018-08-03 06:55:03,2018-07-31 09:48:55,Customer,2018-08-20 15:34:24,Paying,2018-09-21 15:07:27,year,1
company115,92,AE - Qualified,Confirmed,2018-08-20 15:34:18,2018-07-31 09:48:55,Customer,2018-08-20 15:34:24,Paying,2018-09-21 15:07:27,year,1
company115,92,Confirmed,Paying,2018-09-21 15:07:27,2018-07-31 09:48:55,Customer,2018-08-20 15:34:24,Paying,2018-09-21 15:07:27,year,1
company118,167,SD - Interested,SD - Engaged,2018-12-14 08:28:51,2018-09-24 17:05:38,Qualified,2019-05-08 15:01:29,AE - Qualified,2019-04-24 10:21:10,year,1
company118,167,SD - Engaged,AE - Qualified,2019-04-24 10:21:10,2018-09-24 17:05:38,Qualified,2019-05-08 15:01:29,AE - Qualified,2019-04-24 10:21:10,year,1
company120,38,MR - Qualification,AE - Qualified,2018-08-01 15:46:44,2018-07-30 15:23:41,Lost,2018-10-24 13:55:32,Opp - Lost,2018-10-24 13:55:29,month,5
company120,38,AE - Qualified,Opp - Lost,2018-10-24 13:55:29,2018-07-30 15:23:41,Lost,2018-10-24 13:55:32,Opp - Lost,2018-10-24 13:55:29,month,6
company122,29,AE - Qualified,Confirmed,2017-06-16 09:55:48,2017-06-09 09:32:13,Customer,2017-06-19 7:04:40,Paying,2017-07-17 10:39:40,month,8
company122,29,Confirmed,Paying,2017-07-17 10:39:40,2017-06-09 09:32:13,Customer,2017-06-19 7:04:40,Paying,2017-07-17 10:39:40,month,3
company124,118,AE - Qualified,Opp - Lost,2019-04-12 11:48:22,2018-08-02 12:17:48,Lost,2019-04-12 11:47:53,Opp - Lost,2019-04-12 11:48:22,year,1
company125,259,MR - Qualification,AE - Qualified,2019-04-24 08:40:46,2019-04-18 14:09:17,Customer,2019-04-30 14:28:21,Confirmed,2019-04-30 14:26:31,year,1
company125,259,AE - Qualified,Confirmed,2019-04-30 14:26:31,2019-04-18 14:09:17,Customer,2019-04-30 14:28:21,Confirmed,2019-04-30 14:26:31,year,1
company127,63,SD - Engaged,AE - Qualified,2019-05-08 12:30:34,2019-04-30 12:35:50,Qualified,2019-05-08 12:29:34,AE - Qualified,2019-05-08 12:30:34,month,9
company128,90,MR - Qualification,AE - Qualified,2019-03-01 15:07:46,2019-02-21 10:43:26,Customer,2019-04-30 13:10:58,Confirmed,2019-04-30 13:10:50,year,1
company128,90,AE - Qualified,Confirmed,2019-04-30 13:10:50,2019-02-21 10:43:26,Customer,2019-04-30 13:10:58,Confirmed,2019-04-30 13:10:50,year,1
company130,331,AE - Qualified,Opp - Lost,2017-11-28 15:42:34,2017-11-07 15:52:14,Lost,2017-11-28 15:42:38,Opp - Lost,2017-11-28 15:42:34,year,1
company131,29,AE - Qualified,Confirmed,2017-11-03 08:50:12,2017-04-24 14:49:48,Customer,2017-11-03 9:06:48,Paying,2017-11-06 23:01:11,month,10
company131,29,Confirmed,Paying,2017-11-06 23:01:11,2017-04-24 14:49:48,Customer,2017-11-03 9:06:48,Paying,2017-11-06 23:01:11,month,9
company133,35,MR - Qualification,AE - Qualified,2018-08-10 14:38:59,2018-08-07 11:18:11,Customer,2018-08-16 11:58:50,Paying,2018-09-18 15:06:04,month,2
company133,35,AE - Qualified,Confirmed,2018-08-16 11:58:46,2018-08-07 11:18:11,Customer,2018-08-16 11:58:50,Paying,2018-09-18 15:06:04,month,11
company133,35,Confirmed,Paying,2018-09-18 15:06:04,2018-08-07 11:18:11,Customer,2018-08-16 11:58:50,Paying,2018-09-18 15:06:04,month,4
company136,484,SD - Interested,Opp - Lost,2018-09-28 13:45:16,2018-09-26 14:59:49,Interested,2018-09-26 14:58:53,Opp - Lost,2018-09-28 13:45:16,year,1
company137,88,SD - Engaged,AE - Qualified,2019-04-24 17:25:49,2019-04-17 16:02:02,Lost,2019-05-09 11:56:04,Opp - Lost,2019-05-09 11:56:06,year,1
company137,88,AE - Qualified,Opp - Lost,2019-05-09 11:56:06,2019-04-17 16:02:02,Lost,2019-05-09 11:56:04,Opp - Lost,2019-05-09 11:56:06,year,1
company139,23,SD - Interested,Opp - Lost,2018-12-18 10:29:08,2018-10-31 16:13:08,Not Responding,2018-12-18 10:29:03,Opp - Lost,2018-12-18 10:29:08,month,2
company140,35,AE - Qualified,Opp - Lost,2017-05-18 11:24:49,2017-04-18 14:18:43,Disqualified,2019-02-08 8:56:24,Opp - Lost,2017-05-18 11:24:49,month,4
company141,153,AE - Qualified,Confirmed,2017-12-20 19:22:30,2017-10-27 18:00:38,Customer,2017-12-20 19:22:35,Paying,2018-02-19 17:24:41,year,1
company141,153,Confirmed,Paying,2018-02-19 17:24:41,2017-10-27 18:00:38,Customer,2017-12-20 19:22:35,Paying,2018-02-19 17:24:41,year,1
company143,1273,SD - Engaged,SD - Interested,2019-01-25 10:10:04,2019-01-09 09:00:18,Interested,2018-12-06 9:53:49,SD - Interested,2019-01-25 10:10:04,year,1
company144,40,MR - Qualification,Opp - Lost,2019-04-08 11:43:50,2019-03-15 13:24:11,LCI,2019-04-08 11:43:30,Opp - Lost,2019-04-08 11:43:50,month,2
company145,65,AE - Qualified,Confirmed,2017-09-18 06:57:06,2017-09-15 09:04:18,Customer,2017-09-18 6:57:14,Paying,2017-09-18 16:03:43,month,8
company145,65,Confirmed,Paying,2017-09-18 16:03:43,2017-09-15 09:04:18,Customer,2017-09-18 6:57:14,Paying,2017-09-18 16:03:43,month,9
company147,99,MR - Qualification,AE - Qualified,2018-12-14 10:56:27,2018-12-13 09:56:52,Lost,2019-04-01 8:32:09,Opp - Lost,2019-04-01 08:32:04,year,1
company147,99,AE - Qualified,AE - Solution Design,2018-12-17 08:39:35,2018-12-13 09:56:52,Lost,2019-04-01 8:32:09,Opp - Lost,2019-04-01 08:32:04,year,1
company147,99,AE - Solution Design,AE - Qualified,2019-01-10 15:10:37,2018-12-13 09:56:52,Lost,2019-04-01 8:32:09,Opp - Lost,2019-04-01 08:32:04,year,1
company147,99,AE - Qualified,Opp - Lost,2019-04-01 08:32:04,2018-12-13 09:56:52,Lost,2019-04-01 8:32:09,Opp - Lost,2019-04-01 08:32:04,year,1
company151,265,MR - Qualification,AE - Qualified,2019-04-18 08:57:41,2019-04-17 13:57:48,Qualified,2019-04-18 8:57:14,AE - Qualified,2019-04-18 08:57:41,year,1
company152,65,AE - Qualified,Opp - Lost,2018-04-05 08:45:30,2017-11-14 09:44:06,Lost,2018-04-05 8:46:24,Opp - Lost,2018-04-05 08:45:30,month,6
company153,847,MR - Qualification,Opp - Lost,2019-04-30 09:15:24,2019-03-20 14:38:36,Lost,2019-04-30 9:15:28,Opp - Lost,2019-04-30 09:15:24,year,1
company154,965,MR - Qualification,Opp - Lost,2019-05-09 14:43:04,2019-04-29 09:32:46,Disqualified,2019-05-09 14:43:09,Opp - Lost,2019-05-09 14:43:04,year,1
company155,888,SD - Interested,SD - Engaged,2019-01-02 16:07:18,2018-12-18 09:03:17,Interested,2019-01-28 16:06:59,SD - Engaged,2019-01-02 16:07:18,year,1
company156,731,MR - Qualification,AE - Qualified,2019-02-21 13:41:39,2019-02-01 09:34:13,Lost,2019-04-17 7:46:15,Opp - Lost,2019-04-17 07:46:24,year,1
company156,731,AE - Qualified,Opp - Lost,2019-04-17 07:46:24,2019-02-01 09:34:13,Lost,2019-04-17 7:46:15,Opp - Lost,2019-04-17 07:46:24,year,1
company158,306,SD - Engaged,AE - Qualified,2019-04-10 09:27:51,2019-03-28 14:47:49,Lost,2019-04-15 16:42:21,Opp - Lost,2019-04-15 16:42:28,year,1
company158,306,AE - Qualified,Opp - Lost,2019-04-15 16:42:28,2019-03-28 14:47:49,Lost,2019-04-15 16:42:21,Opp - Lost,2019-04-15 16:42:28,year,1
company160,38,AE - Qualified,Confirmed,2018-06-11 09:41:49,2018-05-29 12:54:33,Customer,2018-06-11 9:41:51,Paying,2018-06-11 14:15:47,month,7
company160,38,Confirmed,Paying,2018-06-11 14:15:47,2018-05-29 12:54:33,Customer,2018-06-11 9:41:51,Paying,2018-06-11 14:15:47,month,6
company162,153,AE - Qualified,Opp - Lost,2017-11-20 14:28:43,2017-08-07 13:55:10,Lost,2017-11-20 14:28:39,Opp - Lost,2017-11-20 14:28:43,year,1
company163,100,SD - Interested,SD - Engaged,2018-09-17 10:17:09,2018-09-11 08:18:07,LCI,2019-04-29 8:14:50,Opp - Lost,2018-10-29 13:41:14,year,1
company163,100,SD - Engaged,AE - Qualified,2018-09-17 14:53:36,2018-09-11 08:18:07,LCI,2019-04-29 8:14:50,Opp - Lost,2018-10-29 13:41:14,year,1
company163,100,AE - Qualified,Opp - Lost,2018-10-29 13:41:14,2018-09-11 08:18:07,LCI,2019-04-29 8:14:50,Opp - Lost,2018-10-29 13:41:14,year,1
company166,92,AE - Qualified,Opp - Lost,2018-04-16 10:25:59,2017-09-15 12:33:11,Prospect,2019-03-22 8:15:37,Opp - Lost,2018-04-16 10:25:59,year,1
company167,69,MR - Qualification,AE - Qualified,2019-05-13 14:31:53,2019-05-06 11:48:57,Qualified,2019-05-13 14:30:13,AE - Qualified,2019-05-13 14:31:53,month,7
company168,31,MR - Qualification,AE - Qualified,2019-03-29 13:12:23,2019-03-22 13:49:30,Customer,2019-03-29 14:25:45,Confirmed,2019-03-29 14:24:57,month,8
company168,31,AE - Qualified,Confirmed,2019-03-29 14:24:57,2019-03-22 13:49:30,Customer,2019-03-29 14:25:45,Confirmed,2019-03-29 14:24:57,month,10
